name,artist,rank,last_week_rank,peak_rank,weeks_on_chart
White Keys,Dominic Fike,129,28,0,25
A Bar Song (Tipsy),Shaboozey,130,3,0,121
Have You Ever Seen The Rain,Creedence Clearwater Revival,131,92,0,100
Titi Me Pregunto,Bad Bunny,132,4,0,96
Wildflower,Billie Eilish,133,11,0,117
Morning Dew (Donk),Beyonce,134,57,0,6
Shape Of You,Ed Sheeran,135,55,0,309
REDRED,CORTIS,136,38,0,16
No One Noticed,The Marias,137,27,0,90
Less Than A Lover,JENNIE,138,26,0,3
Counting Stars,OneRepublic,139,79,0,278
Just The Way You Are,Bruno Mars,140,60,0,137
Big Feelings,Ariana Grande,141,18,0,2
Africa,Toto,142,95,0,82
I Had Some Help,Post Malone Featuring Morgan Wallen,143,1,0,113
Thunderstruck,AC/DC,144,104,0,150
De Lejitos,Jay Wheeler,145,77,0,13
Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",146,106,0,61
The Less I Know The Better,Tame Impala,147,86,0,36
Baby,Justin Bieber Featuring Ludacris,148,8,0,18
We Found Love,Rihanna Featuring Calvin Harris,149,47,0,66
Into You,Ariana Grande,150,138,0,12
All The Stars,Kendrick Lamar & SZA,151,6,0,91
Levitating,Dua Lipa,152,2,0,279
Your Love,The Outfield,153,127,0,36
Summertime Sadness,Lana Del Rey vs. Cedric Gervais,154,73,0,201
Closer,The Chainsmokers Featuring Halsey,155,96,0,154
Umbrella,Rihanna Featuring Jay-Z,156,32,0,16
Fever Dream,Alex Warren,157,14,0,24
misery.,pupsies,158,109,0,6
Perfect,Ed Sheeran,159,30,0,310
One Of The Girls,"The Weeknd, JENNIE & Lily-Rose Depp",160,10,0,144
BAD,ATEEZ,161,161,0,4
Cruel Summer,Taylor Swift,162,1,0,171
Heat Waves,Glass Animals,163,1,0,216
Iloveitiloveitiloveit,Bella Kay,164,13,0,25
There's Nothing Holdin' Me Back,Shawn Mendes,165,129,0,47
Human Nature,Michael Jackson,166,12,0,16
Only Girl (In The World),Rihanna,167,74,0,17
Purple Rain,Prince And The Revolution,168,30,0,31
Feel Good Inc,Gorillaz,169,57,0,78
Training Season,Dua Lipa,170,6,0,29
BbY WOW,"Karol G, Judeline & rusowsky",171,171,0,1
Somebody That I Used To Know,Gotye Featuring Kimbra,172,129,0,51
Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,173,118,0,138
Maggots For Brains,Olivia Rodrigo,174,8,0,8
Te Estoy Correteando,LATIN MAFIA & Fred again..,175,175,0,1
Gabriela,KATSEYE,176,16,0,60
Sex On Fire,Kings of Leon,177,170,0,18
(When You Gonna) Give It Up To Me,Sean Paul Featuring Keyshia Cole,178,52,0,29
Unwritten,Natasha Bedingfield,179,20,0,68
Dichavate,Ya Ice Dilan X Rey Tony X Helabusador,180,161,0,3
Passionfruit,Drake,181,137,0,16
Smooth Criminal,Michael Jackson,182,25,0,16
Titanium,David Guetta Featuring Sia,183,183,0,2
Expectations,Olivia Rodrigo,184,19,0,8
E85,Don Toliver,185,29,0,28
Everlong,Foo Fighters,186,123,0,3
That's So True,Gracie Abrams,187,4,0,94
Stay,The Kid Laroi & Justin Bieber,188,1,0,199
That's What I Like,Bruno Mars,189,37,0,81
Total Eclipse Of The Heart,Bonnie Tyler,190,51,0,6
Bad Thing (Bunny Hop),Ariana Grande,191,30,0,2
Timeless,The Weeknd & Playboi Carti,192,3,0,93
Waka Waka (This Time For Africa),Shakira Featuring Freshlyground,193,60,0,22
The Door,Teddy Swims,194,31,0,112
Payphone,Maroon 5 Featuring Wiz Khalifa,195,136,0,10
"World, Hold On",Bob Sinclar Featuring Steve Edwards,196,152,0,7
Stick Season,Noah Kahan,197,5,0,83
Cheap Thrills,Sia Featuring Sean Paul,198,138,0,16
Too Sweet,Hozier,199,1,0,121
Love On The Brain,Rihanna,200,58,0,21
